Gene.primaryIdentifier	Gene.name	Gene.symbol	Gene.description	Gene.chr	Gene.mitoEvidenceMitoCarta	Gene.mitoEvidenceIMPI	Gene.mitoEvidenceGO	Gene.mitoEvidenceHumanProteinAtlas	Gene.MTSipsort	Gene.MTSmitofates	Gene.MTSmitoprot	Gene.MTStargetP
ENSG00000247626	92935	MARS2	methionyl-tRNA synthetase 2, mitochondrial	2	true	true	true	false	1.0	0.99	0.9822	0.869
ENSG00000088888	57506	MAVS	mitochondrial antiviral signaling protein	20	true	true	true	true	0.0	0.059	0.0198	0.025
ENSG00000100294	27349	MCAT	malonyl CoA:ACP acyltransferase (mitochondrial)	22	true	true	true	false	1.0	0.981	0.9826	0.87
ENSG00000078070	56922	MCCC1	methylcrotonoyl-CoA carboxylase 1 (alpha)	3	true	true	true	true	0.0	0.978	0.9922	0.754
ENSG00000131844	64087	MCCC2	methylcrotonoyl-CoA carboxylase 2 (beta)	5	true	true	true	true	1.0	0.932	0.9272	0.885
ENSG00000204511	""	MCCD1	mitochondrial coiled-coil domain 1	6	false	true	true	false	0.0	0.058	0.37	0.39
ENSG00000124370	84693	MCEE	methylmalonyl CoA epimerase	2	true	true	true	false	1.0	0.985	0.9543	0.796
ENSG00000143384	4170	MCL1	myeloid cell leukemia 1	1	false	true	true	true	0.0	0.211	0.4586	0.261
ENSG00000156026	90550	MCU	mitochondrial calcium uniporter	10	true	true	true	true	0.0	0.106	0.9759	0.482
ENSG00000050393	63933	MCUR1	mitochondrial calcium uniporter regulator 1	6	true	true	true	false	1.0	0.065	0.1805	0.439
ENSG00000146701	4191	MDH2	malate dehydrogenase 2, NAD (mitochondrial)	7	true	true	true	true	1.0	0.999	0.9973	0.908
ENSG00000082212	4200	ME2	malic enzyme 2, NAD(+)-dependent, mitochondrial	18	true	true	true	true	1.0	0.996	0.5152	0.732
ENSG00000151376	10873	ME3	malic enzyme 3, NADP(+)-dependent, mitochondrial	11	true	true	true	false	1.0	0.275	0.5265	0.471
ENSG00000116353	51102	MECR	mitochondrial trans-2-enoyl-CoA reductase	1	true	true	true	true	1.0	0.696	0.8015	0.953
ENSG00000172878	254042	METAP1D	methionyl aminopeptidase type 1D (mitochondrial)	2	true	true	true	false	1.0	0.405	0.9929	0.894
ENSG00000214756	751071	METTL12	methyltransferase like 12	11	false	true	true	false	0.0	0.924	0.9505	0.66
ENSG00000169519	196074	METTL15	methyltransferase like 15	11	true	true	false	false	0.0	0.133	0.6471	0.097
ENSG00000165792	64745	METTL17	methyltransferase like 17	14	true	true	true	false	1.0	0.645	0.8484	0.15
ENSG00000123600	""	METTL8	methyltransferase like 8	2	true	true	false	false	0.0	0.841	0.7801	0.882
ENSG00000168958	56947	MFF	mitochondrial fission factor	2	true	true	true	false	0.0	0.0	0.4337	0.641
ENSG00000171109	55669	MFN1	mitofusin 1	3	true	true	true	true	0.0	0.02	0.1453	0.059
ENSG00000116688	9927	MFN2	mitofusin 2	1	true	true	true	false	0.0	0.088	0.7226	0.696
ENSG00000137463	84709	MGARP	mitochondria-localized glutamic acid-rich protein	4	true	true	true	true	1.0	0.72	0.9685	0.821
ENSG00000125871	92667	MGME1	mitochondrial genome maintenance exonuclease 1	20	true	true	true	true	1.0	0.625	0.9033	0.667
ENSG00000008394	4257	MGST1	microsomal glutathione S-transferase 1	12	true	true	true	true	0.0	0.017	0.1626	0.027
ENSG00000143198	4259	MGST3	microsomal glutathione S-transferase 3	1	true	true	false	false	0.0	0.0	0.0483	0.062
ENSG00000107745	10367	MICU1	mitochondrial calcium uptake 1	10	true	true	true	true	0.0	0.845	0.8241	0.722
ENSG00000165487	221154	MICU2	mitochondrial calcium uptake 2	13	true	true	true	true	1.0	0.966	0.9915	0.938
ENSG00000155970	286097	MICU3	mitochondrial calcium uptake family, member 3	8	false	true	true	false	1.0	0.741	0.8113	0.854
ENSG00000100335	54471	MIEF1	mitochondrial elongation factor 1	22	true	true	true	true	0.0	0.0	0.0155	0.056
ENSG00000177427	125170	MIEF2	mitochondrial elongation factor 2	17	false	true	true	false	0.0	0.0	0.0888	0.117
ENSG00000173436	440574	MINOS1	mitochondrial inner membrane organizing system 1	1	true	true	true	true	0.0	0.003	0.5818	0.083
ENSG00000027001	4285	MIPEP	mitochondrial intermediate peptidase	13	true	true	true	true	1.0	0.996	0.8792	0.937
ENSG00000103150	23417	MLYCD	malonyl-CoA decarboxylase	16	true	true	true	false	1.0	0.958	0.9076	0.923
ENSG00000151611	166785	MMAA	methylmalonic aciduria (cobalamin deficiency) cblA type	4	false	true	true	false	1.0	0.661	0.6215	0.596
ENSG00000139428	326625	MMAB	methylmalonic aciduria (cobalamin deficiency) cblB type	12	true	true	true	true	1.0	0.928	0.9755	0.896
ENSG00000168288	27249	MMADHC	methylmalonic aciduria (cobalamin deficiency) cblD type, with homocystinuria	2	true	true	true	false	1.0	0.625	0.9451	0.877
ENSG00000124615	4337	MOCS1	molybdenum cofactor synthesis 1	6	true	true	false	false	1.0	1.0	0.9982	0.945
ENSG00000060762	51660	MPC1	mitochondrial pyruvate carrier 1	6	true	true	true	true	0.0	0.063	0.7213	0.394
ENSG00000143158	25874	MPC2	mitochondrial pyruvate carrier 2	1	true	true	true	false	0.0	0.295	0.7804	0.531
ENSG00000128309	4357	MPST	mercaptopyruvate sulfurtransferase	22	true	true	true	true	0.0	0.035	0.7459	0.399
ENSG00000115204	4358	MPV17	MpV17 mitochondrial inner membrane protein	2	true	true	true	false	1.0	0.771	0.8598	0.552
ENSG00000156968	""	MPV17L	MPV17 mitochondrial membrane protein-like	16	true	true	false	false	1.0	0.86	0.946	0.781
ENSG00000254858	84769	MPV17L2	MPV17 mitochondrial membrane protein-like 2	19	true	true	true	false	1.0	0.992	0.9944	0.84
ENSG00000278619	""	MRM1	mitochondrial rRNA methyltransferase 1	17	false	true	true	true	0.0	0.959	0.9899	0.922
ENSG00000169288	65008	MRPL1	mitochondrial ribosomal protein L1	4	true	true	true	true	1.0	0.93	0.9997	0.925
ENSG00000159111	124995	MRPL10	mitochondrial ribosomal protein L10	17	true	true	true	true	0.0	0.964	0.8754	0.825
ENSG00000174547	65003	MRPL11	mitochondrial ribosomal protein L11	11	true	true	true	false	1.0	0.486	0.9667	0.814
ENSG00000262814	6182	MRPL12	mitochondrial ribosomal protein L12	17	true	true	true	true	1.0	0.993	0.9975	0.896
ENSG00000172172	28998	MRPL13	mitochondrial ribosomal protein L13	8	true	true	true	false	1.0	0.118	0.6534	0.775
ENSG00000180992	64928	MRPL14	mitochondrial ribosomal protein L14	6	true	true	true	false	0.0	0.38	0.9423	0.842
ENSG00000137547	29088	MRPL15	mitochondrial ribosomal protein L15	8	true	true	true	false	1.0	0.051	0.7478	0.662
ENSG00000166902	54948	MRPL16	mitochondrial ribosomal protein L16	11	true	true	true	false	0.0	0.985	0.9154	0.519
ENSG00000158042	63875	MRPL17	mitochondrial ribosomal protein L17	11	true	true	true	false	0.0	0.897	0.9626	0.91
ENSG00000112110	29074	MRPL18	mitochondrial ribosomal protein L18	6	true	true	true	false	1.0	0.769	0.8723	0.92
ENSG00000115364	9801	MRPL19	mitochondrial ribosomal protein L19	2	true	true	true	false	0.0	0.418	0.8611	0.786
ENSG00000112651	51069	MRPL2	mitochondrial ribosomal protein L2	6	true	true	true	true	0.0	0.323	0.9813	0.624
ENSG00000242485	55052	MRPL20	mitochondrial ribosomal protein L20	1	true	true	true	true	1.0	0.85	0.5825	0.889
ENSG00000197345	219927	MRPL21	mitochondrial ribosomal protein L21	11	true	true	true	true	0.0	0.312	0.9747	0.858
ENSG00000082515	29093	MRPL22	mitochondrial ribosomal protein L22	5	true	true	true	true	0.0	0.752	0.404	0.752
ENSG00000214026	6150	MRPL23	mitochondrial ribosomal protein L23	11	true	true	true	true	1.0	0.341	0.9868	0.893
ENSG00000143314	79590	MRPL24	mitochondrial ribosomal protein L24	1	true	true	true	false	0.0	0.074	0.8032	0.726
ENSG00000108826	51264	MRPL27	mitochondrial ribosomal protein L27	17	true	true	true	false	1.0	0.975	0.9818	0.871
ENSG00000086504	10573	MRPL28	mitochondrial ribosomal protein L28	16	true	true	true	true	0.0	0.402	0.9134	0.302
ENSG00000114686	11222	MRPL3	mitochondrial ribosomal protein L3	3	true	true	true	false	0.0	0.786	0.7669	0.561
ENSG00000185414	51263	MRPL30	mitochondrial ribosomal protein L30	2	true	true	true	false	0.0	0.259	0.8317	0.542
ENSG00000106591	64983	MRPL32	mitochondrial ribosomal protein L32	7	true	true	true	false	0.0	0.222	0.9938	0.491
ENSG00000243147	9553	MRPL33	mitochondrial ribosomal protein L33	2	true	true	true	false	1.0	0.044	0.9381	0.684
ENSG00000130312	64981	MRPL34	mitochondrial ribosomal protein L34	19	true	true	true	false	1.0	0.991	0.9348	0.857
ENSG00000132313	51318	MRPL35	mitochondrial ribosomal protein L35	2	true	true	true	false	1.0	0.513	1.0	0.859
ENSG00000171421	64979	MRPL36	mitochondrial ribosomal protein L36	5	true	true	true	false	0.0	0.807	0.9906	0.831
ENSG00000116221	51253	MRPL37	mitochondrial ribosomal protein L37	1	true	true	true	true	1.0	0.5	0.7904	0.8
ENSG00000204316	64978	MRPL38	mitochondrial ribosomal protein L38	17	true	true	true	true	1.0	0.734	0.82	0.874
ENSG00000154719	54148	MRPL39	mitochondrial ribosomal protein L39	21	true	true	true	false	1.0	0.538	0.5563	0.646
ENSG00000105364	51073	MRPL4	mitochondrial ribosomal protein L4	19	true	true	true	false	0.0	0.77	0.9397	0.76
ENSG00000185608	64976	MRPL40	mitochondrial ribosomal protein L40	22	true	true	true	true	0.0	0.892	0.7912	0.902
ENSG00000182154	64975	MRPL41	mitochondrial ribosomal protein L41	9	true	true	true	true	1.0	0.688	0.9843	0.662
ENSG00000198015	28977	MRPL42	mitochondrial ribosomal protein L42	12	true	true	true	true	0.0	0.056	0.9518	0.419
ENSG00000055950	84545	MRPL43	mitochondrial ribosomal protein L43	10	true	true	true	true	1.0	0.698	0.9243	0.936
ENSG00000135900	65080	MRPL44	mitochondrial ribosomal protein L44	2	true	true	true	true	1.0	0.882	0.9851	0.832
ENSG00000278845	84311	MRPL45	mitochondrial ribosomal protein L45	17	false	true	false	true	0.0	0.305	0.9382	0.649
ENSG00000259494	26589	MRPL46	mitochondrial ribosomal protein L46	15	true	true	true	true	1.0	0.903	0.9085	0.912
ENSG00000136522	57129	MRPL47	mitochondrial ribosomal protein L47	3	true	true	true	true	1.0	0.999	0.9869	0.9
ENSG00000175581	51642	MRPL48	mitochondrial ribosomal protein L48	11	true	true	true	false	1.0	0.899	0.6046	0.367
ENSG00000149792	740	MRPL49	mitochondrial ribosomal protein L49	11	true	true	true	false	1.0	0.998	0.9965	0.887
ENSG00000136897	54534	MRPL50	mitochondrial ribosomal protein L50	9	true	true	true	false	1.0	0.877	0.9291	0.744
ENSG00000111639	51258	MRPL51	mitochondrial ribosomal protein L51	12	true	true	true	true	1.0	0.915	0.8994	0.91
ENSG00000172590	122704	MRPL52	mitochondrial ribosomal protein L52	14	true	true	true	true	0.0	0.959	0.7853	0.759
ENSG00000204822	116540	MRPL53	mitochondrial ribosomal protein L53	2	true	true	true	false	1.0	0.519	0.7316	0.837
ENSG00000183617	116541	MRPL54	mitochondrial ribosomal protein L54	19	true	true	true	true	1.0	0.584	0.9197	0.625
ENSG00000162910	128308	MRPL55	mitochondrial ribosomal protein L55	1	true	true	true	false	1.0	0.993	0.9291	0.897
ENSG00000173141	78988	MRPL57	mitochondrial ribosomal protein L57	13	true	true	true	true	1.0	0.802	0.993	0.878
ENSG00000143436	65005	MRPL9	mitochondrial ribosomal protein L9	1	true	true	true	true	0.0	0.886	0.9813	0.853
ENSG00000048544	55173	MRPS10	mitochondrial ribosomal protein S10	6	true	true	true	true	1.0	0.982	0.9041	0.799
ENSG00000181991	64963	MRPS11	mitochondrial ribosomal protein S11	15	true	true	true	true	1.0	0.991	0.9973	0.862
ENSG00000128626	6183	MRPS12	mitochondrial ribosomal protein S12	19	true	true	true	false	0.0	0.486	0.9946	0.252
ENSG00000120333	63931	MRPS14	mitochondrial ribosomal protein S14	1	true	true	true	true	1.0	0.592	0.7739	0.826
ENSG00000116898	64960	MRPS15	mitochondrial ribosomal protein S15	1	true	true	true	true	1.0	0.991	0.9981	0.755
ENSG00000182180	51021	MRPS16	mitochondrial ribosomal protein S16	10	true	true	true	true	1.0	0.807	0.969	0.83
ENSG00000239789	51373	MRPS17	mitochondrial ribosomal protein S17	7	true	true	true	false	1.0	0.516	0.9783	0.671
ENSG00000096080	55168	MRPS18A	mitochondrial ribosomal protein S18A	6	true	true	true	false	0.0	0.946	0.9064	0.873
ENSG00000204568	""	MRPS18B	mitochondrial ribosomal protein S18B	6	false	true	true	true	1.0	0.908	0.9855	0.915
ENSG00000163319	51023	MRPS18C	mitochondrial ribosomal protein S18C	4	true	true	true	false	0.0	0.169	0.8584	0.619
ENSG00000122140	51116	MRPS2	mitochondrial ribosomal protein S2	9	true	true	true	true	1.0	0.922	0.9929	0.921
ENSG00000266472	""	MRPS21	mitochondrial ribosomal protein S21	1	false	true	true	false	1.0	0.52	0.2138	0.213
ENSG00000175110	56945	MRPS22	mitochondrial ribosomal protein S22	3	true	true	true	true	1.0	0.775	0.7159	0.329
ENSG00000181610	51649	MRPS23	mitochondrial ribosomal protein S23	17	true	true	true	true	1.0	0.096	0.088	0.542
ENSG00000062582	64951	MRPS24	mitochondrial ribosomal protein S24	7	true	true	true	false	0.0	0.922	0.9667	0.581
ENSG00000131368	64432	MRPS25	mitochondrial ribosomal protein S25	3	true	true	true	true	1.0	0.615	0.8012	0.719
ENSG00000125901	64949	MRPS26	mitochondrial ribosomal protein S26	20	true	true	true	true	1.0	0.999	0.9802	0.891
ENSG00000113048	23107	MRPS27	mitochondrial ribosomal protein S27	5	true	true	true	false	1.0	0.978	0.959	0.907
ENSG00000147586	28957	MRPS28	mitochondrial ribosomal protein S28	8	true	true	true	true	1.0	0.652	0.8797	0.898
ENSG00000112996	10884	MRPS30	mitochondrial ribosomal protein S30	5	true	true	true	false	1.0	0.968	0.8422	0.712
ENSG00000102738	10240	MRPS31	mitochondrial ribosomal protein S31	13	true	true	true	true	0.0	0.224	0.9326	0.89
ENSG00000090263	51650	MRPS33	mitochondrial ribosomal protein S33	7	true	true	true	false	1.0	0.319	0.8555	0.806
ENSG00000074071	65993	MRPS34	mitochondrial ribosomal protein S34	16	true	true	true	true	1.0	0.807	0.9397	0.916
ENSG00000061794	60488	MRPS35	mitochondrial ribosomal protein S35	12	true	true	true	true	1.0	0.882	0.9512	0.902
ENSG00000134056	""	MRPS36	mitochondrial ribosomal protein S36	5	true	true	true	true	1.0	0.037	0.4537	0.553
ENSG00000144029	64969	MRPS5	mitochondrial ribosomal protein S5	2	true	true	true	true	0.0	0.123	0.7279	0.361
ENSG00000243927	64968	MRPS6	mitochondrial ribosomal protein S6	21	true	true	true	false	0.0	0.129	0.1934	0.143
ENSG00000125445	51081	MRPS7	mitochondrial ribosomal protein S7	17	true	true	true	true	1.0	0.987	0.9915	0.877
ENSG00000135972	64965	MRPS9	mitochondrial ribosomal protein S9	2	true	true	true	true	1.0	0.137	0.9506	0.757
ENSG00000148187	92399	MRRF	mitochondrial ribosome recycling factor	9	true	true	true	false	1.0	0.792	0.942	0.88
ENSG00000124532	57380	MRS2	MRS2 magnesium transporter	6	true	true	true	false	1.0	0.146	0.9858	0.599
ENSG00000113318	4437	MSH3	mutS homolog 3	5	false	true	false	false	1.0	0.849	0.9714	0.952
ENSG00000188895	339287	MSL1	male-specific lethal 1 homolog (Drosophila)	17	false	true	false	false	0.0	0.0	0.1163	0.39
ENSG00000175806	4482	MSRA	methionine sulfoxide reductase A	8	true	true	true	false	1.0	0.697	0.9505	0.634
ENSG00000148450	22921	MSRB2	methionine sulfoxide reductase B2	10	true	true	true	false	1.0	0.982	0.9805	0.831
ENSG00000174099	253827	MSRB3	methionine sulfoxide reductase B3	12	true	true	true	false	0.0	0.017	0.2054	0.108
ENSG00000166343	118490	MSS51	MSS51 mitochondrial translational activator	10	false	true	false	false	1.0	0.019	0.6645	0.655
ENSG00000125459	55154	MSTO1	misato 1, mitochondrial distribution and morphology regulator	1	false	true	true	false	0.0	0.133	0.0404	0.119
ENSG00000198899	4508	MT-ATP6	mitochondrially encoded ATP synthase 6	MT	true	true	true	false	0.0	0.0	0.4686	0.005
ENSG00000228253	4509	MT-ATP8	mitochondrially encoded ATP synthase 8	MT	true	true	true	true	0.0	0.006	0.4816	0.021
ENSG00000198804	4512	MT-CO1	mitochondrially encoded cytochrome c oxidase I	MT	true	true	true	true	0.0	0.004	0.0974	0.012
ENSG00000198712	4513	MT-CO2	mitochondrially encoded cytochrome c oxidase II	MT	true	true	true	false	0.0	0.0	0.0148	0.015
ENSG00000198938	4514	MT-CO3	mitochondrially encoded cytochrome c oxidase III	MT	true	true	true	false	0.0	0.015	0.2867	0.17
ENSG00000198727	4519	MT-CYB	mitochondrially encoded cytochrome b	MT	true	true	true	true	0.0	0.015	0.0023	0.248
ENSG00000198888	4535	MT-ND1	mitochondrially encoded NADH dehydrogenase 1	MT	true	true	true	false	0.0	0.0	0.3362	0.016
ENSG00000198763	4536	MT-ND2	mitochondrially encoded NADH dehydrogenase 2	MT	true	true	true	false	0.0	0.0	0.5596	0.011
ENSG00000198840	4537	MT-ND3	mitochondrially encoded NADH dehydrogenase 3	MT	true	true	true	false	0.0	0.004	0.1251	0.01
ENSG00000198886	4538	MT-ND4	mitochondrially encoded NADH dehydrogenase 4	MT	true	true	true	false	1.0	0.061	0.8185	0.01
ENSG00000212907	4539	MT-ND4L	mitochondrially encoded NADH dehydrogenase 4L	MT	true	true	true	false	0.0	0.008	0.0219	0.012
ENSG00000198786	4540	MT-ND5	mitochondrially encoded NADH dehydrogenase 5	MT	true	true	true	false	0.0	0.006	0.734	0.183
ENSG00000198695	4541	MT-ND6	mitochondrially encoded NADH dehydrogenase 6	MT	true	true	true	false	0.0	0.0	0.227	0.051
ENSG00000137409	23787	MTCH1	mitochondrial carrier 1	6	true	true	true	false	0.0	0.03	0.0466	0.133
ENSG00000109919	23788	MTCH2	mitochondrial carrier 2	11	true	true	true	true	0.0	0.032	0.7533	0.018
ENSG00000127989	7978	MTERF1	mitochondrial transcription termination factor 1	7	true	true	true	true	0.0	0.077	0.8869	0.285
ENSG00000120832	80298	MTERF2	mitochondrial transcription termination factor 2	12	true	true	true	false	1.0	0.98	0.9858	0.956
ENSG00000156469	51001	MTERF3	mitochondrial transcription termination factor 3	8	true	true	true	true	1.0	0.569	0.9961	0.921
ENSG00000122085	130916	MTERF4	mitochondrial transcription termination factor 4	2	true	true	true	true	0.0	0.145	0.588	0.757
ENSG00000103707	123263	MTFMT	mitochondrial methionyl-tRNA formyltransferase	15	true	true	true	false	1.0	0.93	0.9815	0.894
ENSG00000242114	51537	MTFP1	mitochondrial fission process 1	22	true	true	true	false	0.0	0.0	0.4034	0.165
ENSG00000066855	9650	MTFR1	mitochondrial fission regulator 1	8	true	true	true	true	1.0	0.717	0.9808	0.741
ENSG00000117640	56181	MTFR1L	mitochondrial fission regulator 1-like	1	true	true	true	true	1.0	0.083	0.6936	0.242
ENSG00000146410	113115	MTFR2	mitochondrial fission regulator 2	6	false	true	true	false	0.0	0.005	0.522	0.015
ENSG00000148824	92170	MTG1	mitochondrial ribosome-associated GTPase 1	10	true	true	true	false	1.0	0.273	0.8244	0.664
ENSG00000101181	26164	MTG2	mitochondrial ribosome-associated GTPase 2	20	true	true	true	false	1.0	0.983	0.9922	0.936
ENSG00000100714	4522	MTHFD1	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase	14	true	true	true	false	0.0	0.011	0.0343	0.236
ENSG00000120254	25902	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like	6	true	true	true	false	1.0	0.996	0.984	0.79
ENSG00000065911	10797	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	2	true	true	true	false	1.0	0.974	0.9037	0.834
ENSG00000163738	441024	MTHFD2L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like	4	true	true	true	false	1.0	0.991	0.9305	0.947
ENSG00000085760	4528	MTIF2	mitochondrial translational initiation factor 2	2	true	true	true	true	1.0	0.685	0.9013	0.82
ENSG00000122033	219402	MTIF3	mitochondrial translational initiation factor 3	13	true	true	true	true	1.0	0.904	0.9719	0.568
ENSG00000135297	25821	MTO1	mitochondrial tRNA translation optimization 1	6	true	true	true	false	1.0	0.52	0.5291	0.887
ENSG00000198793	2475	MTOR	mechanistic target of rapamycin (serine/threonine kinase)	1	false	true	true	false	0.0	0.022	0.3176	0.503
ENSG00000107951	55149	MTPAP	mitochondrial poly(A) polymerase	10	true	true	true	true	1.0	0.974	0.9853	0.914
ENSG00000120662	9617	MTRF1	mitochondrial translational release factor 1	13	true	true	true	false	0.0	0.996	0.5871	0.723
ENSG00000112031	54516	MTRF1L	mitochondrial translational release factor 1-like	6	true	true	true	false	1.0	0.998	0.9964	0.928
ENSG00000129422	57509	MTUS1	microtubule associated tumor suppressor 1	8	false	true	true	false	0.0	0.0	0.0388	0.067
ENSG00000173171	4580	MTX1	metaxin 1	1	true	true	true	true	0.0	0.016	0.9331	0.575
ENSG00000128654	10651	MTX2	metaxin 2	2	true	true	true	false	0.0	0.0	0.0934	0.127
ENSG00000090432	79594	MUL1	mitochondrial E3 ubiquitin protein ligase 1	1	true	true	true	true	0.0	0.0	0.056	0.129
ENSG00000146085	4594	MUT	methylmalonyl CoA mutase	6	true	true	true	true	1.0	0.996	0.5959	0.768
ENSG00000132781	4595	MUTYH	mutY DNA glycosylase	1	true	true	true	false	1.0	0.455	0.9913	0.918
ENSG00000214114	26292	MYCBP	MYC binding protein	1	false	true	true	false	1.0	0.006	0.2354	0.19
ENSG00000105357	79784	MYH14	myosin, heavy chain 14, non-muscle	19	false	true	false	false	0.0	0.0	0.3035	0.368
ENSG00000100345	4627	MYH9	myosin, heavy chain 9, non-muscle	22	false	true	false	false	0.0	0.0	0.1807	0.104
ENSG00000092841	4637	MYL6	myosin, light chain 6, alkali, smooth muscle and non-muscle	12	false	true	false	false	0.0	0.006	0.1189	0.053
ENSG00000141052	93649	MYOCD	myocardin	17	false	true	false	false	1.0	0.923	0.7928	0.863
ENSG00000152620	133686	NADK2	NAD kinase 2, mitochondrial	5	true	true	true	false	0.0	0.1	0.1162	0.113
ENSG00000198951	4668	NAGA	N-acetylgalactosaminidase, alpha-	22	false	true	false	false	0.0	0.012	0.0193	0.025
ENSG00000161653	162417	NAGS	N-acetylglutamate synthase	17	true	true	true	false	0.0	0.933	0.9997	0.621
ENSG00000137513	79731	NARS2	asparaginyl-tRNA synthetase 2, mitochondrial (putative)	11	true	true	true	true	1.0	0.954	0.9748	0.853
ENSG00000185818	339983	NAT8L	N-acetyltransferase 8-like (GCN5-related, putative)	4	false	true	true	true	0.0	0.0	0.0197	0.036
ENSG00000188554	4077	NBR1	neighbor of BRCA1 gene 1	17	true	true	true	false	0.0	0.0	0.0321	0.057
ENSG00000061676	10787	NCKAP1	NCK-associated protein 1	2	false	true	false	false	1.0	0.522	0.2214	0.263
ENSG00000102471	54602	NDFIP2	Nedd4 family interacting protein 2	13	false	true	true	false	1.0	0.784	0.9926	0.925
ENSG00000125356	4694	NDUFA1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1, 7.5kDa	X	true	true	true	true	0.0	0.035	0.0143	0.022
ENSG00000130414	""	NDUFA10	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa	2	true	true	true	true	0.0	0.999	0.9917	0.867
ENSG00000174886	126328	NDUFA11	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 11, 14.7kDa	19	true	true	true	false	0.0	0.043	0.2831	0.121
ENSG00000184752	55967	NDUFA12	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 12	12	true	true	true	false	1.0	0.596	0.5082	0.463
ENSG00000186010	51079	NDUFA13	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13	19	true	true	true	true	0.0	0.03	0.0611	0.061
ENSG00000131495	4695	NDUFA2	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa	5	true	true	true	false	1.0	0.074	0.6925	0.879
ENSG00000170906	""	NDUFA3	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3, 9kDa	19	true	true	true	false	0.0	0.006	0.1435	0.102
ENSG00000189043	4697	NDUFA4	NDUFA4, mitochondrial complex associated	7	true	true	true	true	1.0	0.095	0.653	0.328
ENSG00000185633	56901	NDUFA4L2	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4-like 2	12	false	true	false	true	1.0	0.485	0.6998	0.418
ENSG00000128609	4698	NDUFA5	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5	7	true	true	true	false	1.0	0.176	0.0222	0.153
ENSG00000184983	""	NDUFA6	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa	22	true	true	true	false	1.0	0.32	0.9372	0.638
ENSG00000267855	4701	NDUFA7	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa	19	false	true	true	true	1.0	0.902	0.414	0.712
ENSG00000119421	4702	NDUFA8	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa	9	true	true	true	true	0.0	0.0	0.003	0.054
ENSG00000139180	4704	NDUFA9	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9, 39kDa	12	true	true	true	true	1.0	0.996	0.9992	0.938
ENSG00000004779	4706	NDUFAB1	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa	16	true	true	true	false	0.0	0.996	0.9674	0.948
ENSG00000137806	51103	NDUFAF1	NADH dehydrogenase (ubiquinone) complex I, assembly factor 1	15	true	true	true	false	0.0	0.708	0.9838	0.807
ENSG00000164182	91942	NDUFAF2	NADH dehydrogenase (ubiquinone) complex I, assembly factor 2	5	true	true	true	true	0.0	0.252	0.9759	0.319
ENSG00000178057	25915	NDUFAF3	NADH dehydrogenase (ubiquinone) complex I, assembly factor 3	3	true	true	true	false	1.0	0.533	0.8049	0.911
ENSG00000123545	29078	NDUFAF4	NADH dehydrogenase (ubiquinone) complex I, assembly factor 4	6	true	true	true	true	0.0	0.085	0.6112	0.605
ENSG00000101247	79133	NDUFAF5	NADH dehydrogenase (ubiquinone) complex I, assembly factor 5	20	true	true	true	false	1.0	0.984	0.9861	0.909
ENSG00000156170	137682	NDUFAF6	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6	8	true	true	true	false	1.0	0.225	0.3358	0.727
ENSG00000003509	55471	NDUFAF7	NADH dehydrogenase (ubiquinone) complex I, assembly factor 7	2	true	true	true	false	1.0	0.624	0.9665	0.663
ENSG00000183648	4707	NDUFB1	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa	14	true	true	true	true	0.0	0.008	0.0193	0.132
ENSG00000140990	4716	NDUFB10	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10, 22kDa	16	true	true	true	false	0.0	0.0	0.1203	0.084
ENSG00000147123	54539	NDUFB11	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 11, 17.3kDa	X	true	true	true	true	1.0	0.992	0.7783	0.975
ENSG00000090266	4708	NDUFB2	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8kDa	7	true	true	true	false	1.0	0.978	0.999	0.827
